base_name,name,capacity_mw,latitude,longitude,fuel,commissioning_year,id,source,url,geo_source
A Luoi,A Luoi Hydro Power Project,170,16.2839,107.3589,Hydro,2012,CDMDB0008248,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
A Roang,A Roang Hydropower Project,7.2,16.12,107.38,Hydro,,CDMDB0006937,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
A Vuong,A Vuong,210,15.7998,107.6171,Hydro,2008,WRI1030859,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/a-vuong-hydropower,Open Development Vietnam
Alin B1,Alin B1 Hydropower Project,42,16.4042,107.1914,Hydro,,CDMDB0006334,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
Amata,Amata,13,10.9471,106.9,Oil,,WRI1030748,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,WRI
An Diem 2,An Diem 2 Hydropower Project,15.6,,,Hydro,,CDMDB0002878,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
An Khanh I,An Khanh I,120,21.5969,105.767,Coal,2015,WRI1030773,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,WRI
An Khe - Kanak,An Khe - Kanak,173,14.0148,108.6796,Hydro,2009,WRI1030828,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/an-khe-kanak-hydropower,Open Development Vietnam
Ayun Ha,Ayun Ha,3,13.5809,108.2592,Hydro,,WRI1030822,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ayun-ha-hydropower,Open Development Vietnam
Ayun Pa Sugar-Cane,Ayun Pa sugar-cane,20,,,Biomass,,WRI1030949,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,
Ayun Thuong 1A,Ayun Thuong 1A Hydropower Project,12,13.9181,108.2333,Hydro,,CDMDB0005376,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
Ba Ria,Ba Ria,389,10.4891,107.17,Gas,,WRI1030736,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,WRI
Ba Thuoc 1,Ba Thuoc 1 Hydropower Project,60,20.3122,105.1619,Hydro,,CDMDB0007400,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
Ba Thuoc 2,Ba Thuoc 2 Hydropower Project,80,20.3222,105.3217,Hydro,2012,CDMDB0004823,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
Bac Binh,Bac Binh,33,11.3711,108.33,Hydro,2009,WRI1030752,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/bac-binh-hydropower,Open Development Vietnam
Bac Lieu,Bac Lieu Province Wind Power Plant,99.2,9.1207,105.4445,Wind,2016,CDMDB0007250,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
Bac Me,Bac Me Hydropower Project,45,22.7369,105.3844,Hydro,,CDMDB0009148,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
Ban Chat,Ban Chat,220,21.8612,103.8286,Hydro,2013,WRI1030910,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ban-chat-hydropower,Open Development Vietnam
Ban Coc,Ban Coc Hydropower Project,18,19.5894,104.8749,Hydro,2009,CDMDB0004236,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
Ban Nhung Small,Ban Nhung Small Hydropower Project,11,22.0028,106.5875,Hydro,,CDMDB0008017,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
Ban Ra,Ban Ra Hydropower Project,18,22.8439,106.6917,Hydro,2012,CDMDB0007691,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
Ban Ve,Ban Ve,320,19.3404,104.4873,Hydro,2010,WRI1030872,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ban-ve-hydropower,Open Development Vietnam
Bao Nhai,Bao Nhai Hydropower Project Vietnam,14,22.4435,104.2517,Hydro,,CDMDB0006790,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism
